Toyota Agya 1.0 E M/T;139,4;2;1;1;2;3;0;5;e
Toyota Agya 1.0 G M/T;143,3;2;1;1;2;3;2;5;e
Toyota Agya 1.2 G M/T;146,4;2;1;1;3;3;4;5;e
Toyota Agya 1.2 G A/T;150,6;3;1;2;3;3;4;5;e
Toyota Agya 1.2 G M/T TRD;159,4;3;1;1;3;4;4;5;e
Toyota Agya 1.2 G A/T TRD;163,7;3;1;2;3;4;4;5;e
Toyota Calya E M/T;144,9;2;2;1;4;4;3;5;e
Toyota Calya G M/T;151,2;3;2;1;4;4;4;5;e
Toyota Calya G A/T;163,4;3;2;2;4;4;4;5;e
Datsun GO D M/T;112,09;1;1;1;2;2;3;2;e
Datsun GO A M/T;119,46;1;1;1;2;2;3;2;e
Datsun GO A CVT;135,41;2;1;2;2;2;3;2;e
Datsun GO T M/T;131,78;2;1;1;2;2;5;2;e
Datsun GO T CVT;147,61;2;1;2;2;2;5;2;e
Datsun GO T Active M/T;135,42;2;1;1;2;2;5;2;e
Datsun GO T Active CVT;151,36;3;1;2;2;2;5;2;e
Datsun GO+ D M/T;120,27;1;2;1;2;2;3;2;e
Datsun GO+ A M/T;128,13;2;2;1;2;2;3;2;e
Datsun GO+ A CVT;144,09;2;2;2;2;2;3;2;e
Datsun GO+ T M/T;137,43;2;2;1;2;2;5;2;e
Datsun GO+ T CVT;153,25;3;2;2;2;2;5;2;e
Datsun GO+ T Style M/T;141,96;2;2;1;2;2;5;2;e
Datsun GO+ T Style CVT;157,91;3;2;2;2;2;5;2;e
Honda Brio Satya S M/T;148,4;2;1;1;4;4;4;4;e
Honda Brio Satya E M/T;157,2;3;1;1;4;4;4;4;e
Honda Brio Satya E CVT;172,6;3;1;2;4;4;4;4;e
Suzuki Karimun WR GL M/T;132;2;1;1;1;3;1;3;e
Suzuki Karimun WR GL AGS;141;2;1;2;1;3;1;3;e
Suzuki Karimun WR GS M/T;140,5;2;1;1;1;3;1;3;e
Suzuki Karimun WR GS AGS;149;2;1;2;1;3;1;3;e
Daihatsu Ayla 1.0 D M/T;101,65;1;1;1;0;0;0;5;e
Daihatsu Ayla 1.0 D+ M/T;113,85;1;1;1;2;0;3;5;e
